time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-01T09:09:10.010Z,38.3623,-115.7563,36.1,1.4,ml,8,133.65,1.005,0.31,nn,nn00663700,2018-11-01T09:12:03.559Z,"48km SSW of Currant, Nevada",earthquake,,26.9,,,automatic,nn,nn
2018-11-01T09:04:24.630Z,33.5133333,-116.7616667,11.3,0.86,ml,37,30,0.03233,0.15,ci,ci37410354,2018-11-01T09:08:10.024Z,"9km WSW of Anza, CA",earthquake,0.19,0.48,0.153,22,automatic,ci,ci
2018-11-01T09:03:03.950Z,33.7158333,-116.8093333,14.45,0.68,ml,19,90,0.07946,0.21,ci,ci37410346,2018-11-01T09:06:44.874Z,"8km ESE of Valle Vista, CA",earthquake,0.51,0.75,0.148,16,automatic,ci,ci
2018-11-01T08:59:32.780Z,33.7205,-116.8093333,14.87,0.68,ml,23,180,0.07987,0.2,ci,ci37410338,2018-11-01T09:03:07.859Z,"8km ESE of Valle Vista, CA",earthquake,0.64,0.56,0.102,15,automatic,ci,ci
2018-11-01T08:52:11.520Z,33.6971667,-116.815,14.26,1.9,ml,73,20,0.07236,0.18,ci,ci37410330,2018-11-01T09:03:44.140Z,"9km SE of Valle Vista, CA",earthquake,0.18,0.3,0.257,26,automatic,ci,ci
2018-11-01T08:46:18.760Z,18.7941,-67.3015,8,2.55,md,4,328,0.6549,0.1,pr,pr2018305004,2018-11-01T11:49:46.767Z,"39km NNW of San Antonio, Puerto Rico",earthquake,1.59,2.44,0.1,4,reviewed,pr,pr
2018-11-01T08:44:41.190Z,38.7851677,-122.7570038,1.57,0.94,md,9,96,0.01596,0.03,nc,nc73104701,2018-11-01T09:53:02.554Z,"1km N of The Geysers, CA",earthquake,0.3,0.49,0.07,2,automatic,nc,nc
2018-11-01T08:42:18.000Z,35.2425,-97.7339,6.2,2.4,mb_lg,,63,0.116,0.33,us,us2000i563,2018-11-01T13:47:25.654Z,"8km SE of Tuttle, Oklahoma",earthquake,1.7,2.8,0.079,42,reviewed,us,us
2018-11-01T08:17:40.110Z,38.7786674,-122.7408371,0.76,1.06,md,7,137,0.005581,0.01,nc,nc73104696,2018-11-01T09:26:02.409Z,"1km E of The Geysers, CA",earthquake,0.34,0.45,0.06,3,automatic,nc,nc
2018-11-01T08:01:52.180Z,19.1913338,-155.6906738,-0.13,1.95,md,39,75,0.06129,0.2,hv,hv70678457,2018-11-01T08:05:13.430Z,"15km NNE of Hawaiian Ocean View, Hawaii",earthquake,0.51,0.55,0.12,9,automatic,hv,hv
2018-11-01T07:56:40.140Z,33.4985,-116.7973333,2.68,0.66,ml,27,32,0.01406,0.19,ci,ci37410322,2018-11-01T08:00:22.749Z,"9km NE of Aguanga, CA",earthquake,0.23,0.36,0.125,20,automatic,ci,ci
2018-11-01T07:44:48.344Z,68.9521,-144.2178,0.5,2.8,ml,,,,1.14,ak,ak20308306,2018-11-01T07:49:08.620Z,"106km NNE of Arctic Village, Alaska",earthquake,,0.6,,,automatic,ak,ak
